Vote,Ayes,Noes
Sale and Supply of Alcohol (Cellar Door Tasting) Amendment Bill — First Reading,Kiritapu Allan!Emily Henderson!Simon O'Connor!Damien Smith!Harete Hipango!Greg O'Connor!Stuart Smith!Chris Baillie!Chris Hipkins!Damien O'Connor!LemaugaLydia Sosene!Andrew Bayly!Elizabeth Kerekere!Ibrahim Omer!Erica Stanford!Camilla Belich!Barbara Kuriger!Sarah Pallett!Jamie Strange!David Bennett!Ingrid Leary!David Parker!Chlöe Swarbrick!Chris Bishop!Soraya Peke-Mason!Rino Tirikatene!Rachel Boyack!Melissa Lee!Chris Penk!Teanau Tuiono!Rachel Brooking!Steph Lewis!Tama Potaka!Philip Twyford!Simeon Brown!Andrew Little!Willow-Jean Prime!Sam Uffindell!Gerry Brownlee!Maureen Pugh!Louise Upston!Mark Cameron!Anna Lorck!Priyanca Radhakrishnan!Tangi Utikere!Naisi Chen!Maria Lubeck!Shane Reti!Brooke van Velden!Karen Chhour!Christopher Luxon!Angela Roberts!Brooke van Velden!David Clark!Jo Luxton!Grant Robertson!Ayesha Verrall!Judith Collins!Nanaia Mahuta!Daniel Rosewarne!Vanushi Walters!Simon Court!Kieran McAnulty!Adrian Rurawhe!Angela Warren-Clark!Todd McClay!Deborah Russell!Simon Watts!Marama Davidson!James McDowall!Eugenie Sage!Meka Whaitiri!Jacqui Dean!Nicole McKee!Jenny Salesa!Matt Doocey!Ian McKelvie!Carmel Sepuloni!Nicola Willis!Tracey McLellan!Toni Severin!Michael Wood!Barbara Edmonds!Ricardo Menéndez March!David Seymour!Michael Woodhouse!JulieAnne Genter!Mark Mitchell!James Shaw!Megan Woods!Golriz Ghahraman!Joseph Mooney!Penny Simmonds!Paul Goldsmith!Todd Muller!Scott Simpson!Nicola Grigg!Stuart Nash!AupitoWilliam Sio!,Glen Bennett!Peeni Henare!Jan Tinetti!Kelvin Davis!Anahila Kanongata'a!Duncan Webb!Shanan Halbert!Terisa Ngobi!Arena Williams!
Sale and Supply of Alcohol (Exemption for Race Meetings) Amendment Bill — Third Reading,Kiritapu Allan!Shanan Halbert!Stuart Nash!AupitoWilliam Sio!Chris Baillie!Harete Hipango!Debbie Ngarewa-Packer!Andrew Bayly!Willie Jackson!Terisa Ngobi!Damien Smith!David Bennett!Anahila Kanongata'a!Damien O'Connor!Stuart Smith!Chris Bishop!Barbara Kuriger!Simon O'Connor!Erica Stanford!Rachel Brooking!Ingrid Leary!Greg O'Connor!Jamie Strange!Simeon Brown!Melissa Lee!David Parker!Rino Tirikatene!Gerry Brownlee!Anna Lorck!Chris Penk!Sam Uffindell!Mark Cameron!Maria Lubeck!Tama Potaka!Louise Upston!Karen Chhour!Christopher Luxon!Maureen Pugh!Tangi Utikere!Tāmati Coffey!Jo Luxton!Shane Reti!Brooke van Velden!Judith Collins!Todd McClay!Angela Roberts!Simon Court!James McDowall!Daniel Rosewarne!Rawiri Waititi!Kelvin Davis!Nicole McKee!Adrian Rurawhe!Simon Watts!Jacqui Dean!Ian McKelvie!Carmel Sepuloni!Helen White!Matt Doocey!Tracey McLellan!Toni Severin!Poto Williams!Paul Eagle!Mark Mitchell!David Seymour!Nicola Willis!Paul Goldsmith!Joseph Mooney!Penny Simmonds!Michael Woodhouse!Nicola Grigg!Todd Muller!Scott Simpson!,Ginny Andersen!Peeni Henare!Sarah Pallett!Teanau Tuiono!Camilla Belich!Emily Henderson!Soraya Peke-Mason!Philip Twyford!Glen Bennett!Chris Hipkins!Willow-Jean Prime!Ayesha Verrall!Rachel Boyack!AnaeNeru Leavasa!Grant Robertson!Vanushi Walters!Naisi Chen!Steph Lewis!Deborah Russell!Angela Warren-Clark!David Clark!Andrew Little!Eugenie Sage!Duncan Webb!Liz Craig!Jan Logie!Jenny Salesa!Meka Whaitiri!Marama Davidson!Nanaia Mahuta!James Shaw!Arena Williams!Barbara Edmonds!Kieran McAnulty!LemaugaLydia Sosene!Michael Wood!JulieAnne Genter!Chlöe Swarbrick!Megan Woods!Golriz Ghahraman!Ibrahim Omer!Jan Tinetti!
Sale and Supply of Alcohol (Harm Minimisation) Amendment Bill — First Reading,Camilla Belich!Elizabeth Kerekere!David Parker!Ayesha Verrall!Glen Bennett!Ingrid Leary!Adrian Rurawhe!Rawiri Waititi!Rachel Boyack!AnaeNeru Leavasa!Deborah Russell!Angela Warren-Clark!Naisi Chen!Jan Logie!Eugenie Sage!Helen White!Marama Davidson!Anna Lorck!Jenny Salesa!Arena Williams!JulieAnne Genter!James Shaw!Golriz Ghahraman!Debbie Ngarewa-Packer!Jamie Strange!Peeni Henare!Sarah Pallett!Teanau Tuiono!Shanan Halbert!,Kiritapu Allan!Nicola Grigg!Stuart Nash!Stuart Smith!Ginny Andersen!Emily Henderson!Terisa Ngobi!LemaugaLydia Sosene!Harete Hipango!Damien O'Connor!Erica Stanford!Chris Baillie!Chris Hipkins!Greg O'Connor!Jan Tinetti!Andrew Bayly!Willie Jackson!Simon O'Connor!Rino Tirikatene!David Bennett!Ibrahim Omer!Philip Twyford!Chris Bishop!Barbara Kuriger!Soraya Peke-Mason!Sam Uffindell!Rachel Brooking!Melissa Lee!Chris Penk!Louise Upston!Simeon Brown!Steph Lewis!Tama Potaka!Brooke van Velden!Gerry Brownlee!Andrew Little!Willow-Jean Prime!Mark Cameron!Maria Lubeck!Maureen Pugh!Vanushi Walters!Karen Chhour!Christopher Luxon!Priyanca Radhakrishnan!Simon Watts!David Clark!Jo Luxton!Shane Reti!Duncan Webb!Tāmati Coffey!Nanaia Mahuta!Angela Roberts!Meka Whaitiri!Judith Collins!Kieran McAnulty!Grant Robertson!Poto Williams!Simon Court!Todd McClay!Daniel Rosewarne!Nicola Willis!Liz Craig!James McDowall!Carmel Sepuloni!Michael Wood!Kelvin Davis!Nicole McKee!Toni Severin!Michael Woodhouse!Jacqui Dean!Ian McKelvie!David Seymour!Megan Woods!Matt Doocey!Tracey McLellan!Penny Simmonds!Paul Eagle!Mark Mitchell!Scott Simpson!Barbara Edmonds!Joseph Mooney!AupitoWilliam Sio!Paul Goldsmith!Todd Muller!Damien Smith!Tangi Utikere!
Sale and Supply of Alcohol (Exemption for Race Meetings) Amendment Bill — In Committee,Kiritapu Allan!Shanan Halbert!Greg O'Connor!Rino Tirikatene!Chris Baillie!Harete Hipango!Simon O'Connor!Sam Uffindell!Andrew Bayly!Willie Jackson!David Parker!Louise Upston!David Bennett!Chris Penk!Tangi Utikere!Chris Bishop!Barbara Kuriger!Tama Potaka!Brooke van Velden!Rachel Brooking!Ingrid Leary!Shane Reti!Simeon Brown!Melissa Lee!Angela Roberts!Ayesha Verrall!Gerry Brownlee!Anna Lorck!Daniel Rosewarne!Angela Warren-Clark!Mark Cameron!Maria Lubeck!Adrian Rurawhe!Simon Watts!Karen Chhour!Christopher Luxon!Carmel Sepuloni!Meka Whaitiri!Tāmati Coffey!Todd McClay!Toni Severin!Helen White!Judith Collins!James McDowall!David Seymour!Simon Court!Nicole McKee!Penny Simmonds!Nicola Willis!Kelvin Davis!Ian McKelvie!Scott Simpson!Michael Woodhouse!Jacqui Dean!Tracey McLellan!AupitoWilliam Sio!Matt Doocey!Mark Mitchell!Damien Smith!Paul Eagle!Joseph Mooney!Stuart Smith!Paul Goldsmith!Todd Muller!Erica Stanford!Nicola Grigg!Terisa Ngobi!Jamie Strange!Maureen Pugh!,Ginny Andersen!Emily Henderson!Philip Twyford!Chris Hipkins!Sarah Pallett!Rawiri Waititi!Camilla Belich!Elizabeth Kerekere!Willow-Jean Prime!Vanushi Walters!Rachel Boyack!AnaeNeru Leavasa!Priyanca Radhakrishnan!Duncan Webb!Naisi Chen!Steph Lewis!Deborah Russell!Arena Williams!David Clark!Andrew Little!Eugenie Sage!Michael Wood!Liz Craig!Jan Logie!Jenny Salesa!Megan Woods!Marama Davidson!Nanaia Mahuta!James Shaw!Barbara Edmonds!Kieran McAnulty!LemaugaLydia Sosene!JulieAnne Genter!Chlöe Swarbrick!Golriz Ghahraman!Damien O'Connor!Jan Tinetti!Peeni Henare!Ibrahim Omer!Teanau Tuiono!Glen Bennett!
Sale and Supply of Alcohol (Exemption for Race Meetings) Amendment Bill — Second Reading,Chris Baillie!Harete Hipango!Simon O'Connor!Erica Stanford!Andrew Bayly!David Parker!Rino Tirikatene!David Bennett!Barbara Kuriger!Soraya Peke-Mason!Sam Uffindell!Chris Bishop!Ingrid Leary!Chris Penk!Louise Upston!Simeon Brown!Melissa Lee!Maureen Pugh!Tangi Utikere!Gerry Brownlee!Anna Lorck!Shane Reti!Brooke van Velden!Mark Cameron!Christopher Luxon!Angela Roberts!Brooke van Velden!Karen Chhour!James McDowall!Daniel Rosewarne!Simon Watts!Tāmati Coffey!Nicole McKee!Adrian Rurawhe!Meka Whaitiri!Judith Collins!Ian McKelvie!Toni Severin!Helen White!Simon Court!Tracey McLellan!David Seymour!Nicola Willis!Jacqui Dean!Mark Mitchell!Penny Simmonds!Michael Woodhouse!Matt Doocey!Joseph Mooney!Scott Simpson!Paul Eagle!Todd Muller!AupitoWilliam Sio!Paul Goldsmith!Terisa Ngobi!Damien Smith!Nicola Grigg!Greg O'Connor!Stuart Smith!Todd McClay!,Kiritapu Allan!Peeni Henare!Stuart Nash!Jan Tinetti!Emily Henderson!Ibrahim Omer!Teanau Tuiono!Chris Hipkins!Sarah Pallett!Philip Twyford!Camilla Belich!Elizabeth Kerekere!Willow-Jean Prime!Ayesha Verrall!Rachel Boyack!Priyanca Radhakrishnan!Vanushi Walters!Naisi Chen!Steph Lewis!Grant Robertson!Angela Warren-Clark!David Clark!Andrew Little!Deborah Russell!Duncan Webb!Jan Logie!Eugenie Sage!Arena Williams!Marama Davidson!Maria Lubeck!Jenny Salesa!Michael Wood!Barbara Edmonds!Jo Luxton!Carmel Sepuloni!Megan Woods!JulieAnne Genter!Nanaia Mahuta!James Shaw!Golriz Ghahraman!Kieran McAnulty!LemaugaLydia Sosene!Shanan Halbert!Ricardo Menéndez March!Chlöe Swarbrick!Glen Bennett!
"Contraception, Sterilisation, and Abortion (Safe Areas) Amendment Bill — First Reading",Kiritapu Allan!JulieAnne Genter!Stuart Smith!Ginny Andersen!Golriz Ghahraman!Mark Mitchell!Erica Stanford!Paul Goldsmith!Todd Muller!Chlöe Swarbrick!Chris Baillie!Nicola Grigg!Stuart Nash!Jan Tinetti!Andrew Bayly!Shanan Halbert!Terisa Ngobi!Teanau Tuiono!Camilla Belich!Peeni Henare!Damien O'Connor!Philip Twyford!Glen Bennett!Emily Henderson!Greg O'Connor!Tangi Utikere!Chris Bishop!Chris Hipkins!Ibrahim Omer!Rachel Boyack!Willie Jackson!Sarah Pallett!Ayesha Verrall!Elizabeth Kerekere!David Parker!Rachel Brooking!Barbara Kuriger!Willow-Jean Prime!Vanushi Walters!Gerry Brownlee!Ingrid Leary!Priyanca Radhakrishnan!Angela Warren-Clark!Mark Cameron!AnaeNeru Leavasa!Shane Reti!Simon Watts!Naisi Chen!Steph Lewis!Angela Roberts!Duncan Webb!Karen Chhour!Andrew Little!Grant Robertson!Meka Whaitiri!David Clark!Anna Lorck!Adrian Rurawhe!Helen White!Tāmati Coffey!Maria Lubeck!Deborah Russell!Arena Williams!Judith Collins!Jo Luxton!Eugenie Sage!Poto Williams!Simon Court!Nanaia Mahuta!Jenny Salesa!Nicola Willis!Liz Craig!Carmel Sepuloni!Michael Woodhouse!Marama Davidson!Kieran McAnulty!Toni Severin!Megan Woods!Kelvin Davis!Todd McClay!David Seymour!Matt Doocey!James McDowall!Paul Eagle!Nicole McKee!James Shaw!Barbara Edmonds!Ian McKelvie!AupitoWilliam Sio!Tracey McLellan!Damien Smith!Jan Logie!,David Bennett!Christopher Luxon!Scott Simpson!Louise Upston!Simeon Brown!Joseph Mooney!Brooke van Velden!Jacqui Dean!Simon O'Connor!Jamie Strange!Penny Simmonds!Rino Tirikatene!Chris Penk!
Abortion Legislation Bill — Third Reading,Chlöe Swarbrick!Kiritapu Allan!Jan Tinetti!Ginny Andersen!JulieAnne Genter!Kieran McAnulty!Golriz Ghahraman!Mark Mitchell!Philip Twyford!David Bennett!Peeni Henare!Stuart Nash!Chris Hipkins!David Parker!Willow-Jean Prime!Angela Warren-Clark!Chris Bishop!Priyanca Radhakrishnan!Duncan Webb!Grant Robertson!Arena Williams!David Clark!Willie Jackson!Nicola Willis!Tāmati Coffey!Deborah Russell!Michael Wood!Judith Collins!Barbara Kuriger!Eugenie Sage!Megan Woods!Liz Craig!Carmel Sepuloni!Andrew Little!David Seymour!Marama Davidson!Jan Logie!James Shaw!Kelvin Davis!Maria Lubeck!Scott Simpson!Matt Doocey!Jo Luxton!AupitoWilliam Sio!Paul Eagle!Erica Stanford!,Greg O'Connor!Rino Tirikatene!Simon O'Connor!Louise Upston!Brooke van Velden!Andrew Bayly!Melissa Lee!Chris Penk!Meka Whaitiri!Simeon Brown!Michael Woodhouse!Gerry Brownlee!Nanaia Mahuta!Maureen Pugh!Jacqui Dean!Shane Reti!Todd McClay!Adrian Rurawhe!Ian McKelvie!Jenny Salesa!Paul Goldsmith!Todd Muller!Jamie Strange!Harete Hipango!Damien O'Connor!
Abortion Legislation Bill — Recommittal,Golriz Ghahraman!Jan Tinetti!Ginny Andersen!Peeni Henare!Stuart Nash!Chris Hipkins!Willow-Jean Prime!Angela Warren-Clark!David Clark!Priyanca Radhakrishnan!Duncan Webb!Tāmati Coffey!Grant Robertson!Arena Williams!Judith Collins!Liz Craig!Barbara Kuriger!Deborah Russell!Eugenie Sage!Matt Doocey!Andrew Little!James Shaw!Jan Logie!AupitoWilliam Sio!Paul Eagle!Maria Lubeck!Erica Stanford!JulieAnne Genter!Jo Luxton!Chlöe Swarbrick!Marama Davidson!,Kiritapu Allan!Mark Mitchell!Stuart Smith!Todd Muller!Jamie Strange!Harete Hipango!Damien O'Connor!Rino Tirikatene!Willie Jackson!Greg O'Connor!Andrew Bayly!Simon O'Connor!Philip Twyford!David Bennett!David Parker!Brooke van Velden!Chris Bishop!Melissa Lee!Chris Penk!Meka Whaitiri!Simeon Brown!Nicola Willis!Gerry Brownlee!Maureen Pugh!Michael Wood!Nanaia Mahuta!Shane Reti!Michael Woodhouse!Kelvin Davis!Adrian Rurawhe!Jacqui Dean!Jenny Salesa!Kieran McAnulty!Carmel Sepuloni!Todd McClay!David Seymour!Ian McKelvie!Scott Simpson!Paul Goldsmith!Louise Upston!
Abortion Legislation Bill — In Committee—Clauses 1 & 2,Todd Muller!Harete Hipango!Louise Upston!Simon O'Connor!Gerry Brownlee!Melissa Lee!Jacqui Dean!Chris Penk!Maureen Pugh!Todd McClay!Shane Reti!Mark Mitchell!Simeon Brown!,Golriz Ghahraman!Kieran McAnulty!Erica Stanford!Kiritapu Allan!Paul Goldsmith!Ian McKelvie!Jamie Strange!Ginny Andersen!Peeni Henare!Chlöe Swarbrick!Chris Hipkins!Stuart Nash!Damien O'Connor!Jan Tinetti!Andrew Bayly!Greg O'Connor!Rino Tirikatene!David Bennett!David Parker!Willie Jackson!Philip Twyford!Brooke van Velden!Chris Bishop!Willow-Jean Prime!Priyanca Radhakrishnan!David Clark!Barbara Kuriger!Grant Robertson!Angela Warren-Clark!Tāmati Coffey!Duncan Webb!Judith Collins!Adrian Rurawhe!Meka Whaitiri!Liz Craig!Andrew Little!Deborah Russell!Arena Williams!Jan Logie!Eugenie Sage!Nicola Willis!Marama Davidson!Maria Lubeck!Jenny Salesa!Michael Wood!Kelvin Davis!Jo Luxton!Carmel Sepuloni!Michael Woodhouse!Matt Doocey!Nanaia Mahuta!David Seymour!Megan Woods!Paul Eagle!James Shaw!Scott Simpson!AupitoWilliam Sio!JulieAnne Genter!Stuart Smith!
Abortion Legislation Bill — In Committee—Part 2,Todd Muller!Stuart Smith!Paul Goldsmith!Jamie Strange!Andrew Bayly!Damien O'Connor!Rino Tirikatene!David Bennett!Greg O'Connor!Louise Upston!Harete Hipango!Simon O'Connor!Brooke van Velden!Simeon Brown!Chris Penk!Meka Whaitiri!Gerry Brownlee!Maureen Pugh!Michael Woodhouse!Shane Reti!Jacqui Dean!Adrian Rurawhe!Matt Doocey!Nanaia Mahuta!Jenny Salesa!Todd McClay!Mark Mitchell!Melissa Lee!,Peeni Henare!Kieran McAnulty!Erica Stanford!Kiritapu Allan!Chris Hipkins!Ian McKelvie!Chlöe Swarbrick!Ginny Andersen!Stuart Nash!Jan Tinetti!David Parker!Willie Jackson!Philip Twyford!Chris Bishop!David Clark!Willow-Jean Prime!Tāmati Coffey!Barbara Kuriger!Priyanca Radhakrishnan!Angela Warren-Clark!Judith Collins!Grant Robertson!Duncan Webb!Liz Craig!Andrew Little!Arena Williams!Jan Logie!Deborah Russell!Nicola Willis!Marama Davidson!Maria Lubeck!Eugenie Sage!Michael Wood!Kelvin Davis!Jo Luxton!Carmel Sepuloni!Megan Woods!Paul Eagle!David Seymour!James Shaw!JulieAnne Genter!Scott Simpson!Golriz Ghahraman!AupitoWilliam Sio!
Abortion Legislation Bill — In Committee—Part 1,Stuart Nash!Jan Tinetti!Kiritapu Allan!Damien O'Connor!Rino Tirikatene!Ginny Andersen!Willie Jackson!Greg O'Connor!David Parker!Philip Twyford!Willow-Jean Prime!Louise Upston!Chris Bishop!Grant Robertson!Brooke van Velden!Tāmati Coffey!Barbara Kuriger!Liz Craig!Adrian Rurawhe!Deborah Russell!Angela Warren-Clark!Marama Davidson!Andrew Little!Eugenie Sage!Duncan Webb!Kelvin Davis!Jan Logie!Jenny Salesa!Meka Whaitiri!Matt Doocey!Maria Lubeck!Carmel Sepuloni!Nicola Willis!Paul Eagle!Jo Luxton!David Seymour!Michael Wood!Nanaia Mahuta!James Shaw!Michael Woodhouse!Scott Simpson!Megan Woods!JulieAnne Genter!Kieran McAnulty!AupitoWilliam Sio!Golriz Ghahraman!Todd McClay!Erica Stanford!Peeni Henare!Ian McKelvie!Jamie Strange!Chris Hipkins!Mark Mitchell!Chlöe Swarbrick!,Paul Goldsmith!Stuart Smith!Andrew Bayly!Todd Muller!David Bennett!Harete Hipango!Simon O'Connor!Simeon Brown!Gerry Brownlee!Melissa Lee!Chris Penk!David Clark!Maureen Pugh!Jacqui Dean!Shane Reti!
Abortion Legislation Bill — In Committee—Part 1,Simon O'Connor!Rino Tirikatene!Louise Upston!David Bennett!Harete Hipango!Chris Penk!Maureen Pugh!Meka Whaitiri!Simeon Brown!Melissa Lee!Shane Reti!Michael Woodhouse!Gerry Brownlee!Adrian Rurawhe!Jacqui Dean!Jenny Salesa!Nanaia Mahuta!Mark Mitchell!Paul Goldsmith!Todd Muller!Jamie Strange!,Golriz Ghahraman!Kieran McAnulty!Stuart Smith!Kiritapu Allan!Peeni Henare!Todd McClay!Erica Stanford!Ginny Andersen!Chris Hipkins!Ian McKelvie!Chlöe Swarbrick!Stuart Nash!Jan Tinetti!Andrew Bayly!Damien O'Connor!Willie Jackson!Greg O'Connor!Philip Twyford!David Parker!Brooke van Velden!Chris Bishop!David Clark!Barbara Kuriger!Willow-Jean Prime!Angela Warren-Clark!Tāmati Coffey!Priyanca Radhakrishnan!Duncan Webb!Liz Craig!Grant Robertson!Arena Williams!Andrew Little!Nicola Willis!Marama Davidson!Jan Logie!Deborah Russell!Michael Wood!Kelvin Davis!Maria Lubeck!Eugenie Sage!Megan Woods!Matt Doocey!Jo Luxton!Carmel Sepuloni!Paul Eagle!David Seymour!James Shaw!Scott Simpson!JulieAnne Genter!AupitoWilliam Sio!
Abortion Legislation Bill — In Committee—Part 1,Harete Hipango!Simon O'Connor!Brooke van Velden!Simeon Brown!Michael Woodhouse!Gerry Brownlee!Chris Penk!Jacqui Dean!Melissa Lee!Maureen Pugh!Shane Reti!Mark Mitchell!Paul Goldsmith!Todd Muller!Louise Upston!,Golriz Ghahraman!Todd McClay!Erica Stanford!Kiritapu Allan!Ian McKelvie!Jamie Strange!Ginny Andersen!Peeni Henare!Chlöe Swarbrick!Chris Hipkins!Stuart Nash!Damien O'Connor!Jan Tinetti!Andrew Bayly!Greg O'Connor!Rino Tirikatene!David Bennett!David Parker!Willie Jackson!Philip Twyford!Chris Bishop!Willow-Jean Prime!Priyanca Radhakrishnan!Barbara Kuriger!Grant Robertson!Angela Warren-Clark!David Clark!Duncan Webb!Tāmati Coffey!Andrew Little!Adrian Rurawhe!Meka Whaitiri!Liz Craig!Jan Logie!Deborah Russell!Arena Williams!Maria Lubeck!Eugenie Sage!Nicola Willis!Marama Davidson!Jo Luxton!Jenny Salesa!Michael Wood!Kelvin Davis!Nanaia Mahuta!Carmel Sepuloni!Megan Woods!Matt Doocey!David Seymour!Paul Eagle!James Shaw!Scott Simpson!AupitoWilliam Sio!JulieAnne Genter!Kieran McAnulty!Stuart Smith!
Abortion Legislation Bill — In Committee—Part 1,David Clark!David Seymour!Marama Davidson!Maria Lubeck!James Shaw!JulieAnne Genter!Chlöe Swarbrick!Golriz Ghahraman!Eugenie Sage!Jan Logie!,Paul Goldsmith!Ian McKelvie!Kiritapu Allan!Stuart Smith!Ginny Andersen!Mark Mitchell!Erica Stanford!Peeni Henare!Todd Muller!Jamie Strange!Harete Hipango!Stuart Nash!Chris Hipkins!Jan Tinetti!Damien O'Connor!Rino Tirikatene!Andrew Bayly!Greg O'Connor!David Bennett!Willie Jackson!Simon O'Connor!Philip Twyford!David Parker!Louise Upston!Brooke van Velden!Chris Bishop!Chris Penk!Simeon Brown!Barbara Kuriger!Gerry Brownlee!Willow-Jean Prime!Angela Warren-Clark!Melissa Lee!Maureen Pugh!Duncan Webb!Tāmati Coffey!Priyanca Radhakrishnan!Meka Whaitiri!Liz Craig!Andrew Little!Shane Reti!Arena Williams!Grant Robertson!Nicola Willis!Kelvin Davis!Jo Luxton!Michael Woodhouse!Jacqui Dean!Adrian Rurawhe!Megan Woods!Matt Doocey!Nanaia Mahuta!Deborah Russell!Jenny Salesa!Paul Eagle!Carmel Sepuloni!Kieran McAnulty!Scott Simpson!Todd McClay!AupitoWilliam Sio!
Abortion Legislation Bill — In Committee—Part 1,Todd Muller!Louise Upston!David Bennett!Harete Hipango!Brooke van Velden!Simon O'Connor!Meka Whaitiri!Chris Penk!Simeon Brown!Melissa Lee!Maureen Pugh!Gerry Brownlee!Shane Reti!Jacqui Dean!Adrian Rurawhe!Nanaia Mahuta!Todd McClay!Paul Goldsmith!Ian McKelvie!Jamie Strange!Mark Mitchell!Rino Tirikatene!,Golriz Ghahraman!Erica Stanford!Kiritapu Allan!Peeni Henare!Stuart Nash!Chlöe Swarbrick!Ginny Andersen!Chris Hipkins!Damien O'Connor!Greg O'Connor!Jan Tinetti!David Parker!Andrew Bayly!Philip Twyford!Chris Bishop!Willie Jackson!Willow-Jean Prime!David Clark!Priyanca Radhakrishnan!Angela Warren-Clark!Tāmati Coffey!Barbara Kuriger!Grant Robertson!Duncan Webb!Liz Craig!Arena Williams!Andrew Little!Deborah Russell!Nicola Willis!Marama Davidson!Jan Logie!Eugenie Sage!Michael Wood!Kelvin Davis!Maria Lubeck!Jenny Salesa!Michael Woodhouse!Matt Doocey!Carmel Sepuloni!Megan Woods!Paul Eagle!David Seymour!James Shaw!Scott Simpson!JulieAnne Genter!Kieran McAnulty!Stuart Smith!
