Vote,Ayes,Noes
Sale of Liquor (Objections to Applications) Amendment Bill — First Reading,Jacqui Dean!AupitoWilliam Sio!David Bennett!Nanaia Mahuta!Simeon Brown!Gerry Brownlee!David Parker!David Clark!Peeni Henare!Judith Collins!Grant Robertson!,
Appointments — Abortion Supervisory Committee,David Bennett!Nanaia Mahuta!David Parker!David Clark!Peeni Henare!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Appointments — Abortion Supervisory Committee,Judith Collins!Simeon Brown!,Nanaia Mahuta!David Parker!David Clark!Grant Robertson!
Appointments — Abortion Supervisory Committee,Gerry Brownlee!Judith Collins!Peeni Henare!,David Bennett!Nanaia Mahuta!David Parker!David Clark!Grant Robertson!
Shop Trading Hours Act Repeal (Easter Trading)Amendment Bill — Second Reading,Judith Collins!David Bennett!David Parker!David Clark!,Nanaia Mahuta!Gerry Brownlee!Grant Robertson!
Easter Sunday Shop Trading Amendment Bill — Second Reading,David Bennett!Judith Collins!,Nanaia Mahuta!Simeon Brown!Gerry Brownlee!David Parker!David Clark!Grant Robertson!
Sale of Liquor (Youth Alcohol Harm Reduction: Purchase Age) Amendment Bill — Second Reading,Simeon Brown!,Judith Collins!David Bennett!Gerry Brownlee!Peeni Henare!David Clark!
Manukau City Council (Control of Street Prostitution) Bill — Second Reading,David Bennett!Simeon Brown!Gerry Brownlee!Judith Collins!,David Bennett!Nanaia Mahuta!Damien O'Connor!David Clark!David Parker!
Shop Trading Hours Act Repeal (Easter Trading)  Amendment Bill — First Reading,David Bennett!Nanaia Mahuta!David Parker!David Clark!Judith Collins!,Gerry Brownlee!Grant Robertson!
Easter Sunday Shop Trading Amendment Bill — First Reading,David Bennett!David Parker!Gerry Brownlee!David Clark!Judith Collins!,Nanaia Mahuta!Grant Robertson!
Sale of Liquor (Youth Alcohol Harm Reduction)  Amendment Bill — First Reading,Simeon Brown!David Parker!Gerry Brownlee!David Clark!Judith Collins!Grant Robertson!,
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!Damien O'Connor!David Clark!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!Damien O'Connor!David Clark!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!Damien O'Connor!David Clark!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!David Clark!Damien O'Connor!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!Damien O'Connor!David Clark!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!Damien O'Connor!David Clark!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!Damien O'Connor!David Clark!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!Damien O'Connor!David Clark!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!David Clark!Damien O'Connor!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!David Clark!Damien O'Connor!David Parker!Grant Robertson!,Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!David Clark!Damien O'Connor!David Parker!Grant Robertson!,Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!David Clark!Damien O'Connor!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!David Clark!Damien O'Connor!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!David Clark!Damien O'Connor!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!David Clark!Damien O'Connor!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!David Clark!Damien O'Connor!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!David Clark!Damien O'Connor!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!David Clark!Damien O'Connor!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!David Clark!Damien O'Connor!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!David Clark!Damien O'Connor!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!David Clark!Damien O'Connor!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!David Clark!Damien O'Connor!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill; AND BILLS THEREFROM — Third Readings,Nanaia Mahuta!David Clark!Damien O'Connor!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill — In Committee,Nanaia Mahuta!Damien O'Connor!David Parker!David Clark!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill — In Committee,Nanaia Mahuta!Damien O'Connor!David Parker!David Clark!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill — In Committee,Nanaia Mahuta!Damien O'Connor!David Clark!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill — In Committee,Nanaia Mahuta!David Clark!Damien O'Connor!David Parker!Grant Robertson!,Simeon Brown!Judith Collins!
Relationships (Statutory References) Bill — In Committee,Nanaia Mahuta!Damien O'Connor!David Clark!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill — In Committee,Nanaia Mahuta!Damien O'Connor!David Clark!David Parker!Grant Robertson!,Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill — In Committee,Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Parker!David Clark!Grant Robertson!
Relationships (Statutory References) Bill — In Committee,Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Parker!David Clark!Grant Robertson!
Relationships (Statutory References) Bill — In Committee,Nanaia Mahuta!Damien O'Connor!David Parker!David Clark!Grant Robertson!,Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill — In Committee,Nanaia Mahuta!Damien O'Connor!David Clark!David Parker!Grant Robertson!,Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill — In Committee,Nanaia Mahuta!Damien O'Connor!David Clark!David Parker!Grant Robertson!,Damien Smith!Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill — In Committee,Nanaia Mahuta!David Parker!David Clark!Grant Robertson!,Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill — In Committee,Nanaia Mahuta!David Clark!David Parker!Grant Robertson!,Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill — In Committee,,Nanaia Mahuta!Gerry Brownlee!David Parker!David Clark!Judith Collins!Grant Robertson!
Relationships (Statutory References) Bill — In Committee,,Nanaia Mahuta!Gerry Brownlee!David Parker!David Clark!Judith Collins!Grant Robertson!
Relationships (Statutory References) Bill — Second Reading,Nanaia Mahuta!Damien O'Connor!David Parker!David Clark!Grant Robertson!,Gerry Brownlee!Judith Collins!
Relationships (Statutory References) Bill — Second Reading,Nanaia Mahuta!Damien O'Connor!David Parker!David Clark!Grant Robertson!,Gerry Brownlee!Judith Collins!
"Civil Union Bill — Procedure, Third Reading",Nanaia Mahuta!David Parker!David Clark!,Simeon Brown!Gerry Brownlee!Grant Robertson!Judith Collins!
"Civil Union Bill — In Committee, Procedure",Nanaia Mahuta!David Clark!Grant Robertson!,Gerry Brownlee!Judith Collins!
"Civil Union Bill — In Committee, Procedure",Nanaia Mahuta!David Parker!David Clark!,Gerry Brownlee!Grant Robertson!Judith Collins!
"Civil Union Bill — In Committee, Procedure",Judith Collins!,Nanaia Mahuta!Gerry Brownlee!David Parker!David Clark!
"Civil Union Bill — In Committee, Procedure",Gerry Brownlee!Judith Collins!,Nanaia Mahuta!David Parker!David Clark!
"Civil Union Bill — In Committee, Procedure",Nanaia Mahuta!David Parker!David Clark!,Damien O'Connor!Simeon Brown!Gerry Brownlee!Grant Robertson!Judith Collins!
"Civil Union Bill — In Committee, Procedure",Nanaia Mahuta!David Parker!David Clark!,Simeon Brown!Gerry Brownlee!Grant Robertson!Judith Collins!Damien O'Connor!
"Civil Union Bill — In Committee, Procedure",Simeon Brown!Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Clark!David Parker!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Simeon Brown!Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Clark!David Parker!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Simeon Brown!Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Clark!David Parker!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Nanaia Mahuta!David Parker!David Clark!,Simeon Brown!Gerry Brownlee!Grant Robertson!Judith Collins!Damien O'Connor!
"Civil Union Bill — In Committee, Procedure",Nanaia Mahuta!David Parker!David Clark!,Simeon Brown!Gerry Brownlee!Grant Robertson!Judith Collins!Damien O'Connor!
"Civil Union Bill — In Committee, Procedure",Nanaia Mahuta!David Parker!David Clark!,Simeon Brown!Gerry Brownlee!Grant Robertson!Judith Collins!
"Civil Union Bill — In Committee, Procedure",Nanaia Mahuta!David Parker!David Clark!,Simeon Brown!Gerry Brownlee!Grant Robertson!Judith Collins!
"Civil Union Bill — In Committee, Procedure",Nanaia Mahuta!David Parker!David Clark!,Simeon Brown!Gerry Brownlee!Grant Robertson!Judith Collins!
"Civil Union Bill — In Committee, Procedure",Simeon Brown!Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Parker!David Clark!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Simeon Brown!Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Parker!David Clark!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Simeon Brown!Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Parker!David Clark!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Simeon Brown!Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Parker!David Clark!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Simeon Brown!Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Parker!David Clark!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Simeon Brown!Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Parker!David Clark!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Simeon Brown!Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Parker!David Clark!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Simeon Brown!Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Parker!David Clark!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Simeon Brown!Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Parker!David Clark!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Parker!David Clark!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Parker!David Clark!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Parker!David Clark!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Parker!David Clark!Judith Collins!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Parker!David Clark!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Parker!David Clark!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Clark!David Parker!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Clark!David Parker!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Clark!David Parker!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Clark!David Parker!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Clark!David Parker!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Clark!David Parker!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Clark!David Parker!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Clark!David Parker!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Clark!David Parker!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Clark!David Parker!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Clark!David Parker!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Clark!David Parker!Grant Robertson!
"Civil Union Bill — In Committee, Procedure",Judith Collins!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Clark!David Parker!Grant Robertson!
"Civil Union Bill — Instruction to Committee, In Committee",Nanaia Mahuta!David Parker!David Clark!,Simeon Brown!Gerry Brownlee!Grant Robertson!Judith Collins!
"Civil Union Bill — Instruction to Committee, In Committee",Simeon Brown!Judith Collins!,Nanaia Mahuta!Gerry Brownlee!David Clark!David Parker!Grant Robertson!
"Civil Union Bill — Instruction to Committee, In Committee",Simeon Brown!Judith Collins!,Gerry Brownlee!Nanaia Mahuta!David Clark!David Parker!Grant Robertson!
"Civil Union Bill — Instruction to Committee, In Committee",Simeon Brown!Judith Collins!,Gerry Brownlee!Nanaia Mahuta!David Clark!David Parker!Grant Robertson!
"Civil Union Bill — Instruction to Committee, In Committee",Simeon Brown!Judith Collins!,Gerry Brownlee!Nanaia Mahuta!David Clark!David Parker!Grant Robertson!
Civil Union Bill — Second Reading,Nanaia Mahuta!David Parker!David Clark!,Simeon Brown!Gerry Brownlee!Grant Robertson!Judith Collins!
Civil Union Bill — Second Reading,Nanaia Mahuta!David Parker!David Clark!,Simeon Brown!Gerry Brownlee!Grant Robertson!Judith Collins!
"Care of Children Bill — Instruction to Committee, Procedure, In Committee",Simeon Brown!Gerry Brownlee!,Nanaia Mahuta!Damien O'Connor!David Clark!Grant Robertson!
"Care of Children Bill — Instruction to Committee, Procedure, In Committee",Simeon Brown!Gerry Brownlee!,Nanaia Mahuta!David Clark!Grant Robertson!
"Care of Children Bill — Instruction to Committee, Procedure, In Committee",Simeon Brown!Gerry Brownlee!,Nanaia Mahuta!Damien O'Connor!David Clark!Grant Robertson!
"Care of Children Bill — Instruction to Committee, Procedure, In Committee",Simeon Brown!,Nanaia Mahuta!Gerry Brownlee!Damien O'Connor!David Clark!Grant Robertson!
Shop Trading Hours (Easter Trading Local Exemption) Bill — First Reading,Grant Robertson!David Clark!Judith Collins!,Damien O'Connor!David Parker!
Relationships (Statutory References) Bill — First Reading,Nanaia Mahuta!David Clark!David Parker!Grant Robertson!,Judith Collins!Damien O'Connor!Simeon Brown!Gerry Brownlee!
Civil Union Bill — First Reading,Nanaia Mahuta!David Parker!Grant Robertson!,Damien O'Connor!Gerry Brownlee!Damien Smith!
Death with Dignity Bill — First Reading,Simeon Brown!David Clark!,Damien O'Connor!Gerry Brownlee!David Parker!Judith Collins!Grant Robertson!Nanaia Mahuta!
"Prostitution Reform Bill — Procedure, Third Reading",David Parker!David Clark!,Simeon Brown!Gerry Brownlee!Judith Collins!Grant Robertson!Nanaia Mahuta!
Prostitution Reform Bill — In Committee,David Clark!,Simeon Brown!Gerry Brownlee!Judith Collins!Grant Robertson!Nanaia Mahuta!
Prostitution Reform Bill — In Committee,,Nanaia Mahuta!Simeon Brown!David Clark!Grant Robertson!
Prostitution Reform Bill — In Committee,David Clark!David Parker!,Simeon Brown!Gerry Brownlee!Grant Robertson!Nanaia Mahuta!
Prostitution Reform Bill — In Committee,,Nanaia Mahuta!Simeon Brown!Gerry Brownlee!David Clark!David Parker!Grant Robertson!
Prostitution Reform Bill — In Committee,,Nanaia Mahuta!Simeon Brown!Gerry Brownlee!David Parker!David Clark!Grant Robertson!
Prostitution Reform Bill — In Committee,,Nanaia Mahuta!Simeon Brown!Gerry Brownlee!David Parker!David Clark!Judith Collins!Grant Robertson!
Prostitution Reform Bill — In Committee,David Clark!Grant Robertson!,Gerry Brownlee!Nanaia Mahuta!
Prostitution Reform Bill — In Committee,David Clark!Grant Robertson!,Gerry Brownlee!Judith Collins!Nanaia Mahuta!
Prostitution Reform Bill — In Committee,,Nanaia Mahuta!Gerry Brownlee!David Parker!David Clark!Judith Collins!
Prostitution Reform Bill — In Committee,Nanaia Mahuta!David Clark!David Parker!Grant Robertson!,Simeon Brown!Gerry Brownlee!Judith Collins!Nanaia Mahuta!
Prostitution Reform Bill — In Committee,,Nanaia Mahuta!Gerry Brownlee!David Parker!David Clark!Judith Collins!Grant Robertson!
Prostitution Reform Bill — In Committee,Nanaia Mahuta!David Clark!David Parker!Judith Collins!,Gerry Brownlee!Grant Robertson!
Prostitution Reform Bill — In Committee,Grant Robertson!,Gerry Brownlee!David Clark!David Parker!
Prostitution Reform Bill — In Committee,David Parker!Grant Robertson!,Gerry Brownlee!Nanaia Mahuta!David Clark!
Prostitution Reform Bill — In Committee,,Gerry Brownlee!David Parker!David Clark!
Prostitution Reform Bill — In Committee,Gerry Brownlee!Grant Robertson!,
Prostitution Reform Bill — In Committee,David Clark!David Parker!,Nanaia Mahuta!Simeon Brown!Gerry Brownlee!Judith Collins!Grant Robertson!
Rotorua District (Easter Sunday Shop Trading) Bill — Second Reading,Judith Collins!Simeon Brown!David Clark!,Nanaia Mahuta!Gerry Brownlee!David Parker!Grant Robertson!
Prostitution Reform Bill — Second Reading,David Parker!David Clark!,Judith Collins!
Prostitution Reform Bill — Second Reading,David Clark!,Damien Smith!Judith Collins!
